Marca,Modello,Type,Origine,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
Kia,New Sorento,SUV,Asia,AWD,40000.0,38000.0,2.2,4.0,202.0,24.0,31.0,3950.0,110.8,190.0
Kia,Optima PHEV,Sedan,Asia,FWD,35500.0,33500.0,2.0,4.0,202.0,40.0,45.0,3450.0,110.4,191.0
Kia,Optima SW PHEV,Wagon,Asia,FWD,37000.0,35000.0,2.0,4.0,202.0,40.0,45.0,3600.0,110.4,191.0
Kia,picanto,Hatchback,Asia,FWD,16000.0,15000.0,1.0,3.0,67.0,36.0,49.0,2100.0,94.5,141.0
Kia,ProCeed,Wagon,Asia,FWD,28000.0,26500.0,1.6,4.0,204.0,28.0,40.0,3100.0,106.3,180.0
Kia,Rio,Hatchback,Asia,FWD,19500.0,18200.0,1.2,4.0,84.0,34.0,46.0,2400.0,101.6,160.0
Kia,Sportage,SUV,Asia,AWD,32000.0,30000.0,1.6,4.0,150.0,28.0,35.0,3550.0,105.5,176.0
Kia,stinger,Sedan,Asia,RWD,45500.0,43000.0,3.3,6.0,368.0,18.0,25.0,4000.0,114.4,190.0
Kia,Stonic,Crossover,Asia,FWD,23500.0,22000.0,1.0,3.0,100.0,33.0,44.0,2750.0,101.2,163.0
Kia,XCeed,Hatchback,Asia,FWD,27000.0,25500.0,1.5,4.0,160.0,32.0,45.0,2950.0,105.5,173.0
Land Rover,Defender 90,SUV,Europe,4WD,55000.0,54000.0,2.0,4.0,296.0,22.0,28.0,2100.0,302.0,4600.0  
Land Rover,Defender 110,SUV,Europe,4WD,60000.0,59000.0,3.0,6.0,395.0,20.0,25.0,2200.0,302.0,4900.0  
Land Rover,Defender 130,SUV,Europe,4WD,65000.0,64000.0,3.0,6.0,395.0,19.0,24.0,2250.0,312.0,5200.0  
Land Rover,Discovery,SUV,Europe,4WD,57000.0,56000.0,3.0,6.0,355.0,18.0,24.0,2100.0,290.0,4900.0  
Land Rover,Discovery Sport,SUV,Europe,4WD,48000.0,47000.0,2.0,4.0,246.0,22.0,28.0,1900.0,275.0,4600.0  
Land Rover,Range Rover Evoque,SUV,Europe,4WD,45000.0,44000.0,2.0,4.0,246.0,22.0,27.0,1850.0,270.0,4400.0  
Land Rover,Range Rover Velar,SUV,Europe,4WD,65000.0,64000.0,3.0,6.0,380.0,19.0,25.0,2050.0,290.0,4800.0  
Land Rover,Range Rover Sport,SUV,Europe,4WD,85000.0,84000.0,5.0,8.0,510.0,17.0,22.0,2300.0,310.0,5200.0  
Land Rover,Range Rover Sport PHEV,SUV,Europe,4WD,88000.0,87000.0,2.0,4.0,404.0,23.0,27.0,2300.0,310.0,5200.0  
Land Rover,Range Rover,SUV,Europe,4WD,95000.0,94000.0,5.0,8.0,557.0,16.0,21.0,2450.0,315.0,5300.0  
Land Rover,Range Rover PHEV,SUV,Europe,4WD,98000.0,97000.0,3.0,6.0,398.0,20.0,25.0,2450.0,315.0,5300.0  
Land Rover,Defender V8,SUV,Europe,4WD,110000.0,108000.0,5.0,8.0,518.0,15.0,21.0,2300.0,312.0,5100.0  
Land Rover,Discovery TD6,SUV,Europe,4WD,62000.0,61000.0,3.0,6.0,254.0,21.0,27.0,2200.0,298.0,4900.0  
Land Rover,Discovery HSE,SUV,Europe,4WD,58000.0,57000.0,2.0,4.0,296.0,23.0,29.0,2100.0,295.0,4850.0  
Land Rover,Range Rover SVAutobiography,SUV,Europe,4WD,200000.0,198000.0,5.0,8.0,557.0,15.0,20.0,2600.0,320.0,5400.0  
Land Rover,Range Rover Autobiography,SUV,Europe,4WD,130000.0,128000.0,5.0,8.0,510.0,16.0,22.0,2500.0,318.0,5300.0  
Land Rover,Range Rover Velar R-Dynamic,SUV,Europe,4WD,67000.0,66000.0,3.0,6.0,380.0,18.0,24.0,2050.0,290.0,4800.0  
Land Rover,Range Rover Evoque Convertible,SUV,Europe,4WD,52000.0,51000.0,2.0,4.0,246.0,22.0,27.0,1850.0,270.0,4400.0  
Land Rover,Discovery Sport SE,SUV,Europe,4WD,50000.0,49000.0,2.0,4.0,246.0,21.0,27.0,1950.0,275.0,4600.0  
Land Rover,Range Rover Sport SVR,SUV,Europe,4WD,115000.0,113000.0,5.0,8.0,575.0,14.0,20.0,2350.0,315.0,5250.0  
Lexus,CT 200h,Hatchback,Europe,FWD,35000.0,34000.0,1.8,4.0,134.0,30.0,37.0,1400.0,260.0,4350.0  
Lexus,IS 300,Sedan,Europe,RWD,42000.0,41000.0,2.0,4.0,241.0,21.0,29.0,1600.0,280.0,4650.0  
Lexus,IS 350,Sedan,Europe,RWD,47000.0,46000.0,3.5,6.0,311.0,19.0,26.0,1700.0,280.0,4700.0  
Lexus,LC 500,Coupe,Europe,RWD,92000.0,90000.0,5.0,8.0,471.0,16.0,24.0,1900.0,287.0,4770.0  
Lexus,LS 500,Sedan,Europe,RWD,76000.0,75000.0,3.5,6.0,415.0,19.0,26.0,2100.0,310.0,5200.0  
Lexus,NX 300h,SUV,Europe,AWD,45000.0,44000.0,2.5,4.0,194.0,28.0,34.0,1850.0,275.0,4650.0  
Lexus,RC 300h,Coupe,Europe,RWD,43000.0,42000.0,2.5,4.0,220.0,27.0,33.0,1600.0,270.0,4600.0  
Lexus,RX 450h,SUV,Europe,AWD,60000.0,59000.0,3.5,6.0,308.0,22.0,28.0,2000.0,290.0,4950.0  
Lexus,RX 350,SUV,Europe,AWD,58000.0,57000.0,3.5,6.0,295.0,19.0,26.0,1950.0,290.0,4900.0  
Lexus,UX 250h,SUV,Europe,AWD,38000.0,37000.0,2.0,4.0,181.0,30.0,36.0,1600.0,270.0,4400.0  
Lexus,ES 300h,Sedan,Europe,FWD,43000.0,42000.0,2.5,4.0,215.0,28.0,34.0,1700.0,275.0,4800.0  
Lexus,GX 460,SUV,Europe,AWD,57000.0,56000.0,4.6,8.0,301.0,15.0,18.0,2500.0,300.0,5050.0  
Lexus,LX 570,SUV,Europe,AWD,90000.0,89000.0,5.7,8.0,383.0,13.0,17.0,2800.0,315.0,5200.0  
Lexus,RC F,Coupe,Europe,RWD,65000.0,64000.0,5.0,8.0,472.0,16.0,23.0,1750.0,270.0,4550.0  
Lexus,LS 500h,Sedan,Europe,RWD,80000.0,79000.0,3.5,6.0,354.0,23.0,30.0,2150.0,315.0,5250.0  
Lexus,NX 350,SUV,Europe,AWD,46000.0,45000.0,2.4,4.0,275.0,21.0,28.0,1900.0,280.0,4700.0  
Lexus,RX 500h,SUV,Europe,AWD,67000.0,66000.0,3.5,6.0,367.0,22.0,28.0,2100.0,290.0,5000.0  
Lexus,UX 200,SUV,Europe,FWD,35000.0,34000.0,2.0,4.0,169.0,30.0,36.0,1550.0,265.0,4350.0  
Lexus,ES 250,Sedan,Europe,FWD,39000.0,38000.0,2.5,4.0,203.0,27.0,33.0,1650.0,270.0,4800.0  
Lexus,GS 350,Sedan,Europe,RWD,54000.0,53000.0,3.5,6.0,311.0,20.0,27.0,1850.0,280.0,4900.0  
Maserati,Ghibli,Sedan,Europe,RWD,90000.0,88000.0,3.0,6.0,345.0,15.0,22.0,1850.0,300.0,4970.0
Maserati,Quattroporte,Sedan,Europe,RWD,110000.0,108000.0,3.0,6.0,424.0,14.0,21.0,1950.0,312.0,5460.0
Maserati,Levante,SUV,Europe,AWD,85000.0,83000.0,3.0,6.0,350.0,16.0,23.0,2100.0,299.0,5000.0
Maserati,Levante Trofeo,SUV,Europe,AWD,140000.0,138000.0,3.8,8.0,590.0,13.0,19.0,2150.0,299.0,5000.0
Maserati,GranTurismo,Coupe,Europe,RWD,150000.0,148000.0,4.7,8.0,460.0,14.0,21.0,1850.0,285.0,4870.0
Maserati,MC20,Coupe,Europe,RWD,210000.0,208000.0,3.0,6.0,630.0,11.0,18.0,1670.0,280.0,4660.0
Maserati,GranCabrio,Convertible,Europe,RWD,160000.0,158000.0,4.7,8.0,460.0,14.0,22.0,1850.0,285.0,4870.0
Maserati,Quattroporte Trofeo,Sedan,Europe,RWD,170000.0,168000.0,3.8,8.0,580.0,12.0,19.0,1950.0,312.0,5460.0
Maserati,Levante Hybrid,SUV,Europe,AWD,90000.0,88000.0,2.0,4.0,330.0,18.0,24.0,2100.0,299.0,5000.0
Maserati,Alfieri,Concept,Europe,RWD,250000.0,245000.0,3.0,6.0,610.0,12.0,19.0,1600.0,275.0,4600.0
Maserati,Bitrent,Crossover,Europe,AWD,120000.0,118000.0,3.0,6.0,450.0,16.0,22.0,2000.0,290.0,4950.0
Maserati,Levante S,SUV,Europe,AWD,95000.0,93000.0,3.0,6.0,430.0,15.0,22.0,2100.0,299.0,5000.0
Maserati,GranTurismo Folgore,Electric,Europe,RWD,180000.0,178000.0,0.0,0.0,1200.0,0.0,0.0,1900.0,285.0,4900.0
Maserati,MC20 Cielo,Convertible,Europe,RWD,230000.0,228000.0,3.0,6.0,630.0,11.0,18.0,1670.0,280.0,4660.0
Maserati,Quattroporte S,Sedan,Europe,RWD,115000.0,113000.0,3.0,6.0,424.0,14.0,21.0,1950.0,312.0,5460.0
Mercedes-Benz,A-Class,Sedan,Europe,FWD,33000.0,32000.0,1.3,4.0,163.0,28.0,36.0,1350.0,106.0,4400.0
Mercedes-Benz,CLA Coupé,Coupé,Europe,FWD,38000.0,37000.0,2.0,4.0,221.0,25.0,34.0,1450.0,110.0,4600.0
Mercedes-Benz,C-Class,Sedan,Europe,RWD,41000.0,40000.0,2.0,4.0,255.0,23.0,33.0,1600.0,111.0,4700.0
Mercedes-Benz,E-Class,Sedan,Europe,RWD,54000.0,53000.0,2.0,4.0,255.0,22.0,31.0,1750.0,115.0,4900.0
Mercedes-Benz,G-Class,SUV,Europe,AWD,130000.0,128000.0,4.0,8.0,416.0,14.0,18.0,2500.0,130.0,5100.0
Mercedes-Benz,G500,SUV,Europe,All,76870.0,71540.0,5.0,8.0,292.0,13.0,14.0,5423.0,112.0,186.0
Mercedes-Benz,ML500,SUV,Europe,All,46470.0,43268.0,5.0,8.0,288.0,14.0,17.0,4874.0,111.0,183.0
Mercedes-Benz,C230 Sport 2dr,Sedan,Europe,Rear,26060.0,24249.0,1.8,4.0,189.0,22.0,30.0,3250.0,107.0,178.0
Mercedes-Benz,C320 Sport 2dr,Sedan,Europe,Rear,28370.0,26435.0,3.2,6.0,215.0,19.0,26.0,3430.0,107.0,178.0
Mercedes-Benz,C240 4dr,Sedan,Europe,Rear,32280.0,30071.0,2.6,6.0,168.0,20.0,25.0,3360.0,107.0,178.0
Mercedes-Benz,C240 4dr,Sedan,Europe,All,33480.0,31187.0,2.6,6.0,168.0,19.0,25.0,3360.0,107.0,178.0
Mercedes-Benz,C320 Sport 4dr,Sedan,Europe,Rear,35920.0,33456.0,3.2,6.0,215.0,19.0,26.0,3430.0,107.0,178.0
Mercedes-Benz,C320 4dr,Sedan,Europe,Rear,37630.0,35046.0,3.2,6.0,215.0,20.0,26.0,3450.0,107.0,178.0
Mercedes-Benz,C320 4dr,Sedan,Europe,All,38830.0,36162.0,3.2,6.0,215.0,19.0,27.0,3450.0,107.0,178.0
Mercedes-Benz,C32 AMG 4dr,Sedan,Europe,Rear,52120.0,48522.0,3.2,6.0,349.0,16.0,21.0,3540.0,107.0,178.0
Mercedes-Benz,CL500 2dr,Sedan,Europe,Rear,94820.0,88324.0,5.0,8.0,302.0,16.0,24.0,4085.0,114.0,196.0
Mercedes-Benz,CL600 2dr,Sedan,Europe,Rear,128420.0,119600.0,5.5,12.0,493.0,13.0,19.0,4473.0,114.0,196.0
Mercedes-Benz,CLK320 coupe 2dr (convertible),Sedan,Europe,Rear,45707.0,41966.0,3.2,6.0,215.0,20.0,26.0,3770.0,107.0,183.0
Mercedes-Benz,CLK500 coupe 2dr (convertible),Sedan,Europe,Rear,52800.0,49104.0,5.0,8.0,302.0,17.0,22.0,3585.0,107.0,183.0
Mercedes-Benz,E320 4dr,Sedan,Europe,Rear,48170.0,44849.0,3.2,6.0,221.0,19.0,27.0,3635.0,112.0,190.0
Mercedes-Benz,E500 4dr,Sedan,Europe,Rear,57270.0,53382.0,5.0,8.0,302.0,16.0,20.0,3815.0,112.0,190.0
Mercedes-Benz,S430 4dr,Sedan,Europe,Rear,74320.0,69168.0,4.3,8.0,275.0,18.0,26.0,4160.0,122.0,203.0
Mercedes-Benz,S500 4dr,Sedan,Europe,All,86970.0,80939.0,5.0,8.0,302.0,16.0,24.0,4390.0,122.0,203.0
Mercedes-Benz,SL500 convertible 2dr,Sports,Europe,Rear,90520.0,84325.0,5.0,8.0,302.0,16.0,23.0,4065.0,101.0,179.0
Mercedes-Benz,SL55 AMG 2dr,Sports,Europe,Rear,121770.0,113388.0,5.5,8.0,493.0,14.0,21.0,4235.0,101.0,179.0
Mercedes-Benz,SL600 convertible 2dr,Sports,Europe,Rear,126670.0,117854.0,5.5,12.0,493.0,13.0,19.0,4429.0,101.0,179.0
Mercedes-Benz,SLK230 convertible 2dr,Sports,Europe,Rear,40320.0,37548.0,2.3,4.0,192.0,21.0,29.0,3055.0,95.0,158.0
Mercedes-Benz,SLK32 AMG 2dr,Sports,Europe,Rear,56170.0,52289.0,3.2,6.0,349.0,17.0,22.0,3220.0,95.0,158.0
Mercedes-Benz,C240,Wagon,Europe,Rear,33780.0,31466.0,2.6,6.0,168.0,19.0,25.0,3470.0,107.0,179.0
Mercedes-Benz,E320,Wagon,Europe,Rear,50670.0,47174.0,3.2,6.0,221.0,19.0,27.0,3966.0,112.0,190.0
Mercedes-Benz,E500,Wagon,Europe,All,60670.0,56474.0,5.0,8.0,302.0,16.0,24.0,4230.0,112.0,190.0
MINI,Cooper,Hatchback,Europe,FWD,23000.0,22000.0,1.5,3.0,134.0,28.0,37.0,1200.0,98.0,3800.0
MINI,Cooper Countryman,SUV,Europe,AWD,32000.0,31000.0,2.0,4.0,189.0,25.0,32.0,1400.0,105.0,4300.0
MINI,Cooper Clubman,Wagon,Europe,FWD,28000.0,27000.0,1.5,3.0,134.0,27.0,36.0,1300.0,100.0,4100.0
MINI,John Cooper Works,Performance,Europe,AWD,40000.0,39000.0,2.0,4.0,301.0,23.0,31.0,1450.0,108.0,4500.0
Opel,Corsa,Hatchback,Europe,FWD,18000.0,17500.0,1.2,4.0,75.0,29.0,37.0,1100.0,98.0,3950.0
Opel,Astra,Sedan,Europe,FWD,22000.0,21000.0,1.4,4.0,145.0,26.0,34.0,1300.0,106.0,4400.0
Opel,Mokka,SUV,Europe,FWD,26000.0,25000.0,1.2,4.0,130.0,25.0,31.0,1450.0,105.0,4300.0
Opel,Corsa,Hatchback,Europe,Front,19000.0,17500.0,1.2,3.0,100.0,37.0,50.5,1090.0,253.0,4060.0
Opel,Astra,Hatchback,Europe,Front,24000.0,22500.0,1.5,4.0,130.0,33.5,43.0,1290.0,267.0,4370.0
Opel,Grandland,SUV,Europe,AWD,36000.0,34000.0,1.6,4.0,180.0,30.0,39.0,1500.0,267.0,4470.0
Opel,Mokka,SUV,Europe,Front,27000.0,25000.0,1.2,3.0,130.0,32.5,42.0,1280.0,256.0,4150.0
Opel,Crossland,SUV,Europe,Front,24500.0,23000.0,1.2,3.0,110.0,34.0,44.0,1250.0,260.0,4210.0
Opel,Zafira Life,Van,Europe,Front,42000.0,39500.0,2.0,4.0,145.0,25.5,33.5,1900.0,328.0,4950.0
Opel,Combo Life,Van,Europe,Front,28000.0,26000.0,1.5,4.0,100.0,33.5,42.5,1460.0,278.0,4403.0
Peugeot,208,Hatchback,Europe,FWD,18000.0,17000.0,1.2,3.0,100.0,31.0,40.0,1090.0,254.0,4055.0
Peugeot,208 GT,Hatchback,Europe,FWD,23000.0,21500.0,1.2,3.0,130.0,30.0,38.0,1130.0,254.0,4060.0
Peugeot,e-208,Hatchback,Europe,FWD,32000.0,30500.0,0.0,0.0,136.0,105.0,115.0,1455.0,254.0,4055.0
Peugeot,2008,SUV,Europe,FWD,22000.0,20500.0,1.2,3.0,110.0,29.0,37.0,1205.0,260.0,4300.0
Peugeot,3008,SUV,Europe,FWD,31000.0,29500.0,1.6,4.0,180.0,26.0,34.0,1440.0,268.0,4447.0
Peugeot,3008 Hybrid,SUV,Europe,AWD,41000.0,39500.0,1.6,4.0,225.0,28.0,36.0,1680.0,268.0,4450.0
Peugeot,5008,SUV,Europe,FWD,35000.0,33500.0,1.6,4.0,180.0,25.0,33.0,1500.0,284.0,4641.0
Peugeot,308,Hatchback,Europe,FWD,25000.0,23500.0,1.2,3.0,130.0,30.0,38.0,1260.0,267.0,4360.0
Peugeot,308 SW,Wagon,Europe,FWD,27000.0,25500.0,1.2,3.0,130.0,29.0,37.0,1310.0,273.0,4635.0
Peugeot,508,Sedan,Europe,FWD,37000.0,35000.0,1.6,4.0,180.0,26.0,35.0,1420.0,280.0,4750.0
Peugeot,508 SW,Wagon,Europe,FWD,39000.0,36500.0,1.6,4.0,180.0,25.0,34.0,1500.0,284.0,4790.0
Peugeot,508 Hybrid,Sedan,Europe,FWD,45000.0,43000.0,1.6,4.0,225.0,27.0,35.0,1700.0,280.0,4750.0
Peugeot,508 SW Hybrid,Wagon,Europe,FWD,47000.0,45000.0,1.6,4.0,225.0,26.0,34.0,1750.0,284.0,4790.0
Peugeot,Rifter,Van,Europe,FWD,27000.0,25500.0,1.5,4.0,100.0,32.0,42.0,1400.0,278.0,4403.0
Peugeot,Traveller,Van,Europe,FWD,48000.0,46000.0,2.0,4.0,150.0,28.0,36.0,1900.0,327.0,4956.0
Renault,Clio,Hatchback,Europe,FWD,18500.0,17200.0,1.0,3.0,90.0,35.0,47.0,1090.0,258.0,4050.0
Renault,Clio E-Tech Hybrid,Hatchback,Europe,FWD,22000.0,20700.0,1.6,4.0,140.0,54.0,61.0,1240.0,258.0,4050.0
Renault,Captur,SUV,Europe,FWD,21500.0,20200.0,1.0,3.0,100.0,33.0,43.0,1200.0,264.0,4227.0
Renault,Captur E-Tech Plug-in Hybrid,SUV,Europe,FWD,31500.0,29900.0,1.6,4.0,160.0,55.0,67.0,1500.0,264.0,4230.0
Renault,Mégane,Hatchback,Europe,FWD,23000.0,21500.0,1.3,4.0,140.0,32.0,42.0,1290.0,267.0,4359.0
Renault,Mégane Sporter,Wagon,Europe,FWD,25000.0,23500.0,1.3,4.0,140.0,31.0,41.0,1320.0,273.0,4626.0
Renault,Mégane E-Tech Electric,Hatchback,Europe,FWD,39000.0,37500.0,0.0,0.0,218.0,100.0,110.0,1636.0,270.0,4200.0
Renault,Austral,SUV,Europe,FWD,32000.0,30500.0,1.2,3.0,130.0,34.0,44.0,1425.0,267.0,4510.0
Renault,Austral E-Tech Hybrid,SUV,Europe,FWD,36000.0,34200.0,1.2,3.0,200.0,52.0,58.0,1570.0,267.0,4510.0
Renault,Arkana,SUV,Europe,FWD,29000.0,27500.0,1.3,4.0,140.0,33.0,43.0,1350.0,272.0,4568.0
Renault,Talisman,Sedan,Europe,FWD,37000.0,35200.0,1.8,4.0,160.0,28.0,36.0,1500.0,281.0,4840.0
Renault,Talisman Sporter,Wagon,Europe,FWD,39000.0,37000.0,1.8,4.0,160.0,27.0,35.0,1550.0,284.0,4865.0
Renault,Espace,SUV,Europe,FWD,47000.0,45000.0,1.3,4.0,200.0,29.0,37.0,1700.0,288.0,4722.0
Renault,Scénic,MPV,Europe,FWD,27000.0,25500.0,1.3,4.0,140.0,32.0,42.0,1450.0,278.0,4406.0
Renault,Grand Scénic,MPV,Europe,FWD,29500.0,28000.0,1.3,4.0,140.0,31.0,41.0,1500.0,284.0,4634.0
Dacia,Duster,SUV,Europe,4WD,18000.0,17500.0,1.3,4.0,130.0,20.0,27.0,1300.0,267.0,4340.0
Dacia,Dokker,Van,Europe,FWD,14000.0,13500.0,1.3,4.0,95.0,25.0,31.0,1200.0,281.0,4380.0
Dacia,Lodgy,MPV,Europe,FWD,16000.0,15500.0,1.3,4.0,115.0,22.0,28.0,1250.0,281.0,4500.0
Dacia,Logan,Sedan,Europe,FWD,13000.0,12500.0,1.0,3.0,75.0,29.0,36.0,1100.0,263.0,4420.0
Dacia,Logan MCV,Station Wagon,Europe,FWD,13500.0,13000.0,1.0,3.0,75.0,27.0,34.0,1120.0,263.0,4550.0
Dacia,Logan MCV Stepway,Station Wagon,Europe,FWD,14500.0,14000.0,1.3,4.0,90.0,25.0,30.0,1150.0,263.0,4550.0
Dacia,Sandero,Hatchback,Europe,FWD,12000.0,11500.0,1.0,3.0,75.0,30.0,37.0,1080.0,245.0,4100.0
Dacia,Sandero Stepway,Hatchback,Europe,FWD,13000.0,12500.0,1.3,4.0,90.0,27.0,33.0,1100.0,245.0,4100.0
Dacia,Dokker 5 porte,Van,Europe,FWD,14500.0,14000.0,1.3,4.0,95.0,24.0,30.0,1200.0,281.0,4380.0
DS,DS 3 Crossback,SUV,Europe,FWD,34000.0,32000.0,1.2,3.0,155.0,22.0,28.0,1350.0,256.0,4100.0
DS,DS 3 Crossback E-Tense,SUV,Europe,FWD,39000.0,37000.0,0.0,0.0,136.0,0.0,0.0,1400.0,256.0,4100.0
DS,DS 7 Crossback,SUV,Europe,FWD,47000.0,45000.0,1.6,4.0,225.0,20.0,27.0,1650.0,273.0,4550.0
DS,DS 7 Crossback E-Tense,SUV,Europe,AWD,55000.0,53000.0,1.6,4.0,300.0,18.0,25.0,1750.0,273.0,4600.0
Dodge,Durango SLT,SUV,USA,All,32235.0,29472.0,4.7,8.0,230.0,15.0,21.0,4987.0,119.0,201.0
Dodge,Neon SE 4dr,Sedan,USA,Front,13670.0,12849.0,2.0,4.0,132.0,29.0,36.0,2581.0,105.0,174.0
Dodge,Neon SXT 4dr,Sedan,USA,Front,15040.0,14086.0,2.0,4.0,132.0,29.0,36.0,2626.0,105.0,174.0
Dodge,Intrepid SE 4dr,Sedan,USA,Front,22035.0,20502.0,2.7,6.0,200.0,21.0,29.0,3469.0,113.0,204.0
Dodge,Stratus SXT 4dr,Sedan,USA,Front,18820.0,17512.0,2.4,4.0,150.0,21.0,28.0,3182.0,108.0,191.0
Dodge,Stratus SE 4dr,Sedan,USA,Front,20220.0,18821.0,2.4,4.0,150.0,21.0,28.0,3175.0,108.0,191.0
Dodge,Intrepid ES 4dr,Sedan,USA,Front,24885.0,23058.0,3.5,6.0,232.0,18.0,27.0,3487.0,113.0,204.0
Dodge,Caravan SE,Sedan,USA,Front,21795.0,20508.0,2.4,4.0,150.0,20.0,26.0,3862.0,113.0,189.0
Dodge,Grand Caravan SXT,Sedan,USA,All,32660.0,29812.0,3.8,6.0,215.0,18.0,25.0,4440.0,119.0,201.0
Dodge,Viper SRT-10 convertible 2dr,Sports,USA,Rear,81795.0,74451.0,8.3,10.0,500.0,12.0,20.0,3410.0,99.0,176.0
Dodge,Dakota Regular Cab,Truck,USA,Rear,17630.0,16264.0,3.7,6.0,210.0,16.0,22.0,3714.0,112.0,193.0
Dodge,Dakota Club Cab,Truck,USA,Rear,20300.0,18670.0,3.7,6.0,210.0,16.0,22.0,3829.0,131.0,219.0
Dodge,Ram 1500 Regular Cab ST,Truck,USA,Rear,20215.0,18076.0,3.7,6.0,215.0,16.0,21.0,4542.0,121.0,208.0
Ferrari,F12 Berlinetta,Coupe,Europe,RWD,320000.0,300000.0,6.3,12.0,730.0,12.0,18.0,1585.0,270.0,4650.0
Ferrari,California T,Cabriolet,Europe,RWD,190000.0,180000.0,3.9,8.0,560.0,15.0,22.0,1645.0,267.0,4540.0
Ferrari,GTC4Lusso,Shooting Brake,Europe,AWD,260000.0,250000.0,6.3,12.0,680.0,14.0,20.0,1905.0,294.0,4900.0
Ferrari,488 Spider,Cabriolet,Europe,RWD,230000.0,220000.0,3.9,8.0,670.0,15.0,21.0,1475.0,265.0,4560.0
Ferrari,488 GTB,Coupe,Europe,RWD,240000.0,230000.0,3.9,8.0,670.0,15.0,21.0,1475.0,265.0,4560.0
Ferrari,Portofino,Cabriolet,Europe,RWD,215000.0,205000.0,3.9,8.0,600.0,16.0,23.0,1600.0,267.0,4567.0
Ferrari,812 Superfast,Coupe,Europe,RWD,340000.0,320000.0,6.5,12.0,800.0,11.0,17.0,1635.0,282.0,4650.0
Ferrari,F8 Tributo,Coupe,Europe,RWD,280000.0,270000.0,3.9,8.0,720.0,15.0,22.0,1435.0,265.0,4560.0
Ferrari,F8 Spider,Cabriolet,Europe,RWD,290000.0,280000.0,3.9,8.0,720.0,15.0,22.0,1460.0,265.0,4560.0
Ferrari,Monza SP1,Roadster,Europe,RWD,1800000.0,1750000.0,6.5,12.0,810.0,11.0,17.0,1485.0,269.0,4550.0
Ferrari,Monza SP2,Roadster,Europe,RWD,1850000.0,1800000.0,6.5,12.0,810.0,11.0,17.0,1485.0,269.0,4550.0
Ferrari,LaFerrari,Hypercar,Europe,AWD,3500000.0,3400000.0,6.3,12.0,950.0,14.0,20.0,1580.0,277.0,4700.0
Ferrari,458 Italia,Coupe,Europe,RWD,230000.0,220000.0,4.5,8.0,570.0,14.0,20.0,1425.0,265.0,4540.0
Ferrari,458 Spider,Cabriolet,Europe,RWD,240000.0,230000.0,4.5,8.0,570.0,14.0,20.0,1450.0,265.0,4540.0
Ferrari,488 Pista,Coupe,Europe,RWD,320000.0,310000.0,3.9,8.0,710.0,14.0,20.0,1400.0,265.0,4560.0
Ferrari,California,Cabriolet,Europe,RWD,200000.0,190000.0,4.3,8.0,490.0,16.0,23.0,1600.0,267.0,4540.0
Ferrari,360 Modena,Coupe,Europe,RWD,90000.0,85000.0,3.6,8.0,400.0,15.0,22.0,1400.0,260.0,4480.0
Ferrari,F430,Coupe,Europe,RWD,120000.0,115000.0,4.3,8.0,490.0,15.0,22.0,1450.0,260.0,4480.0
Ferrari,F430 Spider,Cabriolet,Europe,RWD,130000.0,125000.0,4.3,8.0,490.0,15.0,22.0,1475.0,260.0,4480.0
Ferrari,F355,Coupe,Europe,RWD,110000.0,105000.0,3.5,8.0,375.0,15.0,22.0,1425.0,260.0,4480.0
Fiat,500,Hatchback,Europe,FWD,15000.0,14000.0,1.2,4.0,69.0,30.0,38.0,1050.0,230.0,3570.0
Fiat,500C,Convertible,Europe,FWD,17000.0,16000.0,1.2,4.0,69.0,28.0,36.0,1100.0,230.0,3570.0
Fiat,500L,Hatchback,Europe,FWD,20000.0,19000.0,1.4,4.0,95.0,27.0,34.0,1350.0,260.0,4100.0
Fiat,500L Cross,SUV,Europe,FWD,21000.0,20000.0,1.4,4.0,95.0,26.0,33.0,1380.0,260.0,4150.0
Fiat,500X,Hatchback,Europe,AWD,23000.0,22000.0,1.3,4.0,150.0,25.0,32.0,1400.0,260.0,4250.0
Fiat,500X Cross,SUV,Europe,AWD,24000.0,23000.0,1.3,4.0,150.0,24.0,31.0,1420.0,260.0,4250.0
Fiat,500X Lounge,SUV,Europe,AWD,24500.0,23500.0,1.3,4.0,150.0,24.0,31.0,1430.0,260.0,4250.0
Fiat,500X Sport,SUV,Europe,AWD,25000.0,24000.0,1.3,4.0,177.0,22.0,29.0,1450.0,260.0,4250.0
Fiat,Panda,Hatchback,Europe,FWD,14000.0,13000.0,1.0,3.0,69.0,33.0,41.0,980.0,230.0,3650.0
Fiat,Panda 4x4,SUV,Europe,AWD,17000.0,16000.0,0.9,3.0,85.0,30.0,38.0,1050.0,230.0,3700.0
Fiat,Panda City Cross,SUV,Europe,FWD,16000.0,15000.0,1.0,3.0,69.0,32.0,40.0,1000.0,230.0,3650.0
Fiat,Qubo,MPV,Europe,FWD,16000.0,15000.0,1.4,4.0,77.0,28.0,35.0,1350.0,265.0,4030.0
Fiat,Tipo,Sedan,Europe,FWD,18000.0,17000.0,1.4,4.0,95.0,27.0,35.0,1400.0,260.0,4500.0
Fiat,Tipo 5 porte,Hatchback,Europe,FWD,18000.0,17000.0,1.4,4.0,95.0,27.0,35.0,1400.0,260.0,4500.0
